dateUpdated	country	province	count_by_provinces
2019-05-19T23:58:05Z	US	AK	64
2019-05-19T23:45:05Z	US	AL	635
2019-05-19T23:45:04Z	US	AR	124
2019-05-19T23:26:58Z	US	AZ	186
2019-05-19T23:24:38Z	US	CA	727
2019-05-19T23:24:21Z	US	CO	154
2019-05-19T23:24:21Z	US	CT	1
2019-05-19T22:58:35Z	US	DC	18
2019-05-19T22:53:58Z	US	DE	25
2019-05-19T22:51:18Z	US	FL	739
2019-05-19T22:36:02Z	US	GA	238
2019-05-19T22:35:35Z	US	HI	91
2019-05-19T22:24:59Z	US	IA	107
2019-05-19T22:24:37Z	US	ID	65
2019-05-19T22:08:00Z	US	IL	305
2019-05-19T22:07:44Z	US	IN	519
2019-05-19T22:00:11Z	US	KS	92
2019-05-19T21:43:52Z	US	KY	142
2019-05-19T21:43:51Z	US	LA	161
2019-05-19T21:43:50Z	US	MA	2
2019-05-19T21:43:30Z	US	MD	114
2019-05-19T21:43:10Z	US	MI	210
2019-05-19T21:43:02Z	US	MN	83
2019-05-19T21:42:32Z	US	MO	244
2019-05-19T17:57:13Z	US	MS	99
2019-05-19T17:54:31Z	US	MT	33
2019-05-19T17:04:06Z	US	NC	663
2019-05-19T16:29:46Z	US	ND	18
2019-05-19T11:18:04Z	US	NE	74
2019-05-19T11:14:11Z	US	NJ	2
2019-05-19T11:12:02Z	US	NM	69
2019-05-19T11:00:04Z	US	NV	96
2019-05-19T10:35:30Z	US	NY	173
2019-05-19T08:45:44Z	US	OH	922
2019-05-19T08:40:14Z	US	OK	147
2019-05-19T08:36:09Z	US	OR	334
2019-05-19T08:35:42Z	US	PA	194
2019-05-19T08:21:06Z	US	SC	322
2019-05-19T08:05:05Z	US	SD	27
2019-05-19T08:03:56Z	US	TN	243
2019-05-19T07:58:38Z	US	TX	426
2019-05-19T07:55:20Z	US	UT	74
2019-05-19T07:46:32Z	US	VA	348
2019-05-19T07:46:27Z	US	WA	404
2019-05-19T07:45:55Z	US	WI	112
2019-05-19T07:45:51Z	US	WV	154
2019-05-19T07:41:13Z	US	WY	20
